STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,60,17,50,0,50,46,30,16,9,0,41,198,199,22,177,78,16,104,1,30,1131,16,149,34,175,0,181,1518,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,125,1,23,0,23,53,30,23,8,0,16,191,366,57,309,168,11,65,8,69,1543,7,118,24,154,0,270,754,4125
ANDHRA PRADESH,CHITTOOR,2001,101,57,2,27,0,27,59,34,25,4,0,14,237,723,164,559,156,33,209,9,38,2088,14,112,83,186,0,404,1262,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,53,1,20,0,20,25,20,5,1,0,4,98,173,36,137,164,12,37,2,23,795,17,126,38,57,0,233,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,1,23,0,23,49,26,23,4,0,25,437,1021,150,871,70,50,220,3,41,1244,12,109,58,247,0,431,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0,0,0,0,0,0,0,5,0,2,0,162,0,162,1,0,0,3,0,1,0,1,0,0,0,4,104,287
ANDHRA PRADESH,GUNTUR,2001,182,88,2,54,0,54,82,51,31,16,3,59,338,1122,171,951,244,67,300,8,43,1792,7,139,129,378,0,369,2426,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,7,37,0,37,80,39,41,13,0,67,1155,2792,1128,1664,65,101,1293,24,0,3137,24,118,27,746,0,409,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,6,56,0,56,67,49,18,27,1,50,218,392,54,338,220,25,243,5,33,1392,62,414,81,224,0,322,1726,5811
ANDHRA PRADESH,KHAMMAM,2001,93,60,1,47,0,47,41,30,11,1,0,13,172,368,34,334,153,35,130,5,73,1026,17,180,336,172,0,209,1450,4582
ANDHRA PRADESH,KRISHNA,2001,65,51,0,37,0,37,36,21,15,3,0,15,163,478,27,451,70,24,104,1,62,1985,10,208,72,265,0,268,862,4779
ANDHRA PRADESH,KURNOOL,2001,133,72,4,29,0,29,47,47,0,6,0,22,155,297,6,291,84,6,126,2,5,1547,13,141,107,92,0,292,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,26,59,0,59,42,27,15,8,0,27,249,316,33,283,157,22,84,0,0,867,14,176,41,69,0,280,2158,4819
ANDHRA PRADESH,MEDAK,2001,101,56,12,35,0,35,26,20,6,27,0,26,219,286,36,250,100,17,87,4,37,1367,26,100,25,192,0,335,454,3532
ANDHRA PRADESH,NALGONDA,2001,122,60,1,35,0,35,27,19,8,6,0,28,133,318,43,275,220,13,122,8,72,1132,31,188,59,214,0,432,1781,5002
ANDHRA PRADESH,NELLORE,2001,89,69,5,46,0,46,90,80,10,12,2,16,244,608,72,536,97,20,177,3,65,1119,10,207,228,287,0,266,1585,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,49,14,21,0,21,38,21,17,7,0,22,158,234,48,186,51,61,122,1,30,1383,19,55,15,228,0,220,787,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,82,3,19,0,19,31,12,19,15,0,14,147,278,33,245,138,16,88,1,43,1266,5,140,100,119,0,263,808,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,95,16,72,0,72,106,83,23,24,3,78,1076,1296,347,949,65,67,527,3,67,2829,37,113,55,421,7,593,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,0,0,0,0,0,0,0,10,2,296,0,296,1,2,4,25,0,17,1,0,1,0,0,6,68,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,4,8,0,8,12,12,0,1,0,4,118,231,1,230,70,18,53,0,34,679,6,38,47,108,0,167,926,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,5,25,0,25,70,48,22,3,0,27,491,2057,264,1793,19,34,614,10,17,1578,2,84,122,520,0,234,724,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,1,0,1,0,0,0,0,0,1,0,265,0,265,1,2,3,6,0,9,0,1,1,0,0,2,25,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,0,12,0,12,12,12,0,4,0,3,76,165,0,165,138,19,39,3,31,1476,3,67,48,99,0,216,685,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,1,13,0,13,13,6,7,1,0,5,323,630,172,458,9,37,192,3,15,325,0,33,462,204,0,196,928,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14,1,8,0,8,8,2,6,0,0,2,99,144,0,144,36,11,41,2,12,529,0,40,22,121,0,175,880,2178
ANDHRA PRADESH,WARANGAL,2001,158,79,5,53,0,53,81,25,56,2,0,23,266,418,79,339,330,6,137,2,0,1718,52,241,0,165,0,269,2314,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,1,61,0,61,41,21,20,7,0,15,257,1116,74,1042,96,63,270,2,32,972,15,246,56,348,0,354,1609,5696
ANDHRA PRADESH,TOTAL,2001,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089
ARUNACHAL PRADESH,CHANGLANG,2001,11,2,0,1,0,1,3,2,1,3,2,4,18,24,0,24,0,4,3,0,1,30,0,3,0,0,0,0,54,163
