STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Andhra Pradesh,ADILABAD,2013,96,72,13,61,0,61,65,47,18,2,0,14,274,377,86,291,58,93,254,1,30,2394,12,197,138,464,0,376,1390,6381
Andhra Pradesh,ANANTAPUR,2013,156,149,3,28,0,28,110,84,26,5,0,23,279,597,154,443,56,5,160,5,29,2537,23,337,43,161,0,573,1634,6913
Andhra Pradesh,CHITTOOR,2013,72,61,2,31,0,31,52,27,25,3,0,11,157,512,158,354,57,17,238,6,18,937,13,119,84,435,0,546,2239,5610
Andhra Pradesh,CUDDAPAH,2013,93,107,7,19,0,19,84,50,34,2,0,9,220,702,255,447,156,81,317,5,34,2310,9,318,163,207,0,464,1741,7048
Andhra Pradesh,CYBERABAD,2013,162,123,16,138,0,138,192,129,63,15,0,89,1318,4779,1761,3018,34,179,2111,12,40,4284,43,350,338,1526,0,1104,3139,19992
Andhra Pradesh,EAST GODAVARI,2013,68,71,6,74,0,74,63,33,30,3,0,15,326,788,310,478,50,86,222,7,21,2300,15,352,222,483,0,525,1082,6779
Andhra Pradesh,GUNTAKAL RLY.,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,251,0,251,0,0,3,4,1,11,0,3,2,0,0,0,24,301
Andhra Pradesh,GUNTUR,2013,110,87,1,38,0,38,61,54,7,4,0,21,192,675,200,475,41,41,305,11,21,2345,16,296,135,608,0,449,1569,7026
Andhra Pradesh,GUNTUR URBAN,2013,44,51,3,28,0,28,46,34,12,2,1,26,190,991,408,583,11,15,372,5,14,1180,7,124,93,326,0,226,1123,4878
Andhra Pradesh,HYDERABAD CITY,2013,120,145,5,101,0,101,131,52,79,6,0,47,658,4166,1353,2813,118,75,2382,47,62,3092,39,225,90,1480,0,527,2839,16355
Andhra Pradesh,KARIMNAGAR,2013,101,89,10,57,0,57,118,103,15,3,0,20,349,771,242,529,96,120,706,3,45,2593,39,354,276,670,0,535,1881,8836
Andhra Pradesh,KHAMMAM,2013,103,99,10,100,0,100,114,104,10,6,0,16,455,887,340,547,135,52,636,3,42,2268,15,254,297,768,0,483,3864,10607
Andhra Pradesh,KRISHNA,2013,56,46,0,58,0,58,54,37,17,0,1,18,316,579,154,425,15,31,203,12,45,2596,14,387,274,708,0,404,1059,6876
Andhra Pradesh,KURNOOL,2013,127,175,0,26,0,26,72,50,22,12,0,27,252,565,21,544,128,16,506,6,35,2531,11,374,199,203,0,478,1852,7595
Andhra Pradesh,MAHABOOBNAGAR,2013,191,69,31,117,0,117,90,63,27,8,0,18,394,1207,13,1194,130,52,269,6,56,2381,33,219,98,234,0,756,1733,8092
Andhra Pradesh,MEDAK,2013,128,77,6,64,0,64,44,38,6,3,0,14,414,775,245,530,45,25,358,6,58,1970,25,169,73,476,0,733,1591,7054
Andhra Pradesh,NALGONDA,2013,98,100,5,77,0,77,118,110,8,13,0,27,375,810,244,566,231,91,499,2,49,3315,27,367,313,327,0,746,2701,10291
Andhra Pradesh,NELLORE,2013,99,110,2,26,0,26,95,81,14,4,2,41,364,1077,323,754,29,129,223,3,29,2533,8,263,221,374,0,455,1239,7326
Andhra Pradesh,NIZAMABAD,2013,117,56,12,49,0,49,54,33,21,5,1,18,480,1035,338,697,84,41,373,3,60,1796,17,142,295,732,0,572,1720,7662
Andhra Pradesh,PRAKASHAM,2013,77,101,6,39,0,39,65,57,8,7,0,30,238,694,233,461,93,81,294,4,27,2274,8,298,26,484,0,492,1061,6399
Andhra Pradesh,RAJAHMUNDRY,2013,14,15,2,14,0,14,15,4,11,1,0,18,160,314,132,182,12,22,48,1,11,757,2,67,68,209,0,136,365,2251
Andhra Pradesh,RANGA REDDY,2013,80,47,8,37,0,37,25,25,0,1,0,13,96,173,17,156,18,9,94,1,25,626,14,69,23,168,0,182,482,2191
Andhra Pradesh,SECUNDERABAD RLY.,2013,7,2,0,0,0,0,2,2,0,0,0,1,0,737,0,737,0,1,11,5,0,10,0,11,0,0,0,2,60,849
Andhra Pradesh,SRIKAKULAM,2013,35,49,1,42,0,42,26,23,3,1,0,11,190,307,72,235,22,15,153,1,31,1124,3,207,129,361,0,319,1814,4841
Andhra Pradesh,TIRUPATHI URBAN,2013,26,21,1,10,0,10,22,15,7,0,0,15,190,827,326,501,22,3,197,0,4,565,7,45,31,133,0,200,502,2821
Andhra Pradesh,VIJAYAWADA CITY,2013,29,55,8,48,0,48,72,45,27,2,0,66,323,2173,783,1390,6,124,459,6,24,1955,12,249,456,1227,0,325,1359,8978
Andhra Pradesh,VIJAYAWADA RLY.,2013,6,2,0,1,0,1,1,1,0,3,0,9,0,625,0,625,1,1,3,53,0,11,2,6,5,0,0,0,44,773
Andhra Pradesh,VISAKHA RURAL,2013,46,41,1,32,0,32,30,23,7,1,0,5,132,329,31,298,46,6,113,6,27,1137,8,139,79,210,0,302,548,3238
Andhra Pradesh,VISAKHAPATNAM,2013,30,50,1,67,0,67,58,50,8,5,0,26,355,1203,332,871,9,64,336,1,21,1356,8,149,100,548,0,379,2009,6775
Andhra Pradesh,VIZIANAGARAM,2013,30,38,2,42,0,42,25,25,0,1,0,7,180,230,2,228,30,18,124,3,13,1609,10,165,95,383,0,289,1624,4918
Andhra Pradesh,WARANGAL,2013,52,54,4,52,0,52,63,63,0,1,0,17,256,327,17,310,140,3,237,2,0,1789,20,206,10,129,0,290,1769,5421
Andhra Pradesh,WARANGAL URBAN,2013,24,20,2,36,0,36,56,47,9,1,0,18,197,459,179,280,51,2,363,1,20,1442,16,127,81,195,0,198,1131,4440
Andhra Pradesh,WEST GODAVARI,2013,85,67,2,123,0,123,96,86,10,5,0,19,490,1090,311,779,20,57,446,9,40,2460,16,342,245,855,0,575,1456,8498
Andhra Pradesh,ZZ TOTAL,2013,2484,2249,170,1635,0,1635,2119,1595,524,125,5,709,9820,31032,9040,21992,1944,1555,13015,240,932,60488,492,6930,4702,15084,0,13641,48644,218015
Arunachal Pradesh,ANJAW,2013,2,0,0,0,0,0,0,0,0,0,0,1,2,6,0,6,0,0,1,0,0,5,0,0,0,0,0,6,5,28
Arunachal Pradesh,CHANGLANG,2013,4,2,0,5,0,5,11,5,6,3,0,9,15,32,3,29,4,3,5,0,1,24,0,2,0,1,0,4,64,189
