          ordinal hint RVA      name
          1    0 00094520 AddMD5
          2    1 00094CF0 EndMD5
          3    2 0008FCE0 FromCharset
          4    3 000923F0 GetLang_1
          5    4 000924D0 GetLang_2B
          6    5 00092460 GetLang_2T
          7    6 000944F0 InitMD5
          8    7 00095270 NTPtime64
          9    8 0008FE00 ToCharset
         10    9 00010610 VLC_CompileBy
         11    A 00010620 VLC_CompileHost
         12    B 00010630 VLC_Compiler
         13    C 00037730 access_vaDirectoryControlHelper
         14    D 000A7D50 addon_entry_Hold
         15    E 000A7CF0 addon_entry_New
         16    F 000A7D60 addon_entry_Release
         17   10 000A7EF0 addons_manager_Delete
         18   11 000A8140 addons_manager_Gather
         19   12 000A8360 addons_manager_Install
         20   13 000A82A0 addons_manager_LoadCatalog
         21   14 000A7D80 addons_manager_New
         22   15 000A86C0 addons_manager_Remove
         23   16 00060FE0 aout_BitsPerSample
         24   17 00064B60 aout_ChannelExtract
         25   18 00061F20 aout_ChannelReorder
         26   19 000652F0 aout_CheckChannelExtraction
         27   1A 00061D30 aout_CheckChannelReorder
         28   1B 00063A50 aout_Deinterleave
         29   1C 0006C0C0 aout_DeviceGet
         30   1D 0006C130 aout_DeviceSet
         31   1E 0006C270 aout_DevicesList
         32   1F 00069C30 aout_FiltersAdjustResampling
         33   20 0006A4F0 aout_FiltersChangeViewpoint
         34   21 000699B0 aout_FiltersDelete
         35   22 00069E30 aout_FiltersDrain
         36   23 0006A300 aout_FiltersFlush
         37   24 000685F0 aout_FiltersNew
         38   25 00069C60 aout_FiltersPlay
         39   26 00061110 aout_FormatPrepare
         40   27 000614F0 aout_FormatPrint
         41   28 00061290 aout_FormatPrintChannels
         42   29 000632B0 aout_Interleave
         43   2A 0006BF60 aout_MuteGet
         44   2B 0006BFC0 aout_MuteSet
         45   2C 0006BB80 aout_VolumeGet
         46   2D 0006BBF0 aout_VolumeSet
         47   2E 0006BD00 aout_VolumeUpdate
         48   2F 00068560 aout_filter_RequestVout
         49   30 00095360 block_Alloc
         50   31 00096070 block_FifoCount
         51   32 00095E60 block_FifoEmpty
         52   33 00095F30 block_FifoGet
         53   34 00095DB0 block_FifoNew
         54   35 00095EC0 block_FifoPut
         55   36 00095E10 block_FifoRelease
         56   37 00096010 block_FifoShow
         57   38 000959D0 block_File
         58   39 00095C20 block_FilePath
         59   3A 00095320 block_Init
         60   3B 000956A0 block_Realloc
         61   3C 00095410 block_TryRealloc
         62   3D 00095930 block_heap_Alloc
         63   3E 000959B0 block_mmap_Alloc
         64   3F 000959C0 block_shm_Alloc
